country,country:de,country:es,country:fr,country:nb,country:cs,country:ru,country:nl,country:sv,country:pt,country:zh,country:pl,country:it
Isle of Man,Isle of Man,Isla de Man,Île de Man,Man,,,,,,,,
Jersey,Jersey,Jersey,Jersey,Jersey,,,,,,,,
Falkland Islands,Falklandinseln,Islas Malvinas,Îles Malouines,Falklandsøyene,,,,,,,,
Azores,Azoren (Habichtsinseln),Azores,Açores,Asorene,,,,,,,,
Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,,,,,,,,
Madeira,Autonome Region Madeira,Madeira,Madère,Madeira,,,,,,,,
Corsica,Korsika,Córcega,Corse,Korsika,,,,,,,,
Martinique,Martinique,Martinica,Martinique,Martinique,,,,,,,,
Sardinia,Sardinien,Cerdeña,Sardaigne,Sardinia,,,,,,,,
Sicily,Sizilien,Sicilia,Sicile,Sicilia,,,,,,,,
Zanzibar,Sansibar,Zanzíbar,Zanzibar,Zanzibar,,,,,,,,
Canary Islands,Kanarischen Inseln,Canarias,Îles Canaries,Kanariøyene,,,,,,,,
Guadeloupe,Guadeloupe,Guadalupe,Guadeloupe,Guadeloupe,,,,,,,,
Réunion,La Réunion,Reunión,La Réunion,Réunion,,,,,,,,
Kaliningrad Oblast,Oblast Kaliningrad,Óblast de Kaliningrado,Oblast de Kaliningrad,Kaliningrad oblast,,,,,,,,
French Guiana,Französisch-Guayana,Guayana Francesa,Guyane,Fransk Guyana,,,,,,,,
Bali,Bali,Bali,Bali,Bali,,,,,,,,
